Protein,Sparsity,Ruggedness,Positions,Experiment number,Notes
GB1,0.4379905808477237,1.4416874210981079,[41 39 31 43 27 30 54 38 23 33],0,Empirical sites
GB1,0.31711145996860285,1.4677111219243164,[41 39 31 43 27 30 54 38 23 33],1,Empirical sites
GB1,0.7660910518053375,2.0230753728720905,[41 39 31 43 27 30 54 38 23 33],2,Empirical sites
GB1,0.7346938775510204,1.9542553062663062,[41 39 31 43 27 30 54 38 23 33],3,Empirical sites
GB1,0.6248037676609105,1.7697343589186145,[41 39 31 43 27 30 54 38 23 33],4,Empirical sites
GB1,0.6671899529042387,1.9372960607088299,[41 39 31 43 27 30 54 38 23 33],5,Empirical sites
GB1,0.4427001569858713,1.3123118761055086,[41 39 31 43 27 30 54 38 23 33],6,Empirical sites
GB1,0.7331240188383046,2.188582191984865,[41 39 31 43 27 30 54 38 23 33],7,Empirical sites
GB1,0.46938775510204084,1.6332389469657822,[41 39 31 43 27 30 54 38 23 33],8,Empirical sites
GB1,0.5808477237048666,1.8099682571982725,[41 39 31 43 27 30 54 38 23 33],9,Empirical sites
GB1,0.6279434850863422,1.6703157088517984,[41 39 31 43 27 30 54 38 23 33],10,Empirical sites
GB1,0.7864992150706437,2.436912185320456,[41 39 31 43 27 30 54 38 23 33],11,Empirical sites
GB1,0.5070643642072213,1.3393611359668876,[41 39 31 43 27 30 54 38 23 33],12,Empirical sites
GB1,0.7127158555729984,2.0786145309532773,[41 39 31 43 27 30 54 38 23 33],13,Empirical sites
GB1,0.39717425431711145,1.4141301453116435,[41 39 31 43 27 30 54 38 23 33],14,Empirical sites
GB1,0.5792778649921507,1.6033881787479913,[41 39 31 43 27 30 54 38 23 33],15,Empirical sites
GB1,0.6656200941915228,1.9125263340659526,[41 39 31 43 27 30 54 38 23 33],16,Empirical sites
GB1,0.6703296703296703,1.835451580326725,[41 39 31 43 27 30 54 38 23 33],17,Empirical sites
GB1,0.554160125588697,2.358603285400027,[41 39 31 43 27 30 54 38 23 33],18,Empirical sites
GB1,0.7535321821036107,2.3381202664032976,[23 24 25 26 27 28 29 30 31 32],0,Empirical sites
GB1,0.7802197802197802,2.2172246231597805,[23 24 25 26 27 28 29 30 31 32],1,Empirical sites
GB1,0.8194662480376766,2.381821314027948,[23 24 25 26 27 28 29 30 31 32],2,Empirical sites
GB1,0.6169544740973313,1.7794590772452539,[23 24 25 26 27 28 29 30 31 32],3,Empirical sites
GB1,0.7598116169544741,2.311860234739004,[23 24 25 26 27 28 29 30 31 32],4,Empirical sites
GB1,0.8053375196232339,2.391817465758371,[23 24 25 26 27 28 29 30 31 32],5,Empirical sites
GB1,0.5949764521193093,2.0892438947716525,[23 24 25 26 27 28 29 30 31 32],6,Empirical sites
GB1,0.7488226059654631,2.258994737649848,[23 24 25 26 27 28 29 30 31 32],7,Empirical sites
GB1,0.7582417582417582,2.0575504131193094,[23 24 25 26 27 28 29 30 31 32],8,Empirical sites
GB1,0.7519623233908949,2.2051197320566063,[23 24 25 26 27 28 29 30 31 32],9,Empirical sites
GB1,0.728414442700157,2.1111200868021656,[23 24 25 26 27 28 29 30 31 32],10,Empirical sites
GB1,0.7252747252747253,1.9018416336320556,[23 24 25 26 27 28 29 30 31 32],11,Empirical sites
GB1,0.6907378335949764,1.9650630994980414,[23 24 25 26 27 28 29 30 31 32],12,Empirical sites
GB1,0.6750392464678179,2.0993159447200074,[23 24 25 26 27 28 29 30 31 32],13,Empirical sites
GB1,0.7912087912087912,2.5054063936077404,[23 24 25 26 27 28 29 30 31 32],14,Empirical sites
GB1,0.7111459968602826,1.8508403495243584,[23 24 25 26 27 28 29 30 31 32],15,Empirical sites
GB1,0.6483516483516484,1.7564261836061432,[23 24 25 26 27 28 29 30 31 32],16,Empirical sites
GB1,0.7645211930926217,2.3788216087264242,[23 24 25 26 27 28 29 30 31 32],17,Empirical sites
GB1,0.7158555729984302,1.9641877068122653,[23 24 25 26 27 28 29 30 31 32],18,Empirical sites
GB1,0.42229199372056514,1.8571909168073264,[37 38 39 40 41 20 21 48 49 50],0,Empirical sites
GB1,0.27472527472527475,1.6116962584350107,[37 38 39 40 41 20 21 48 49 50],1,Empirical sites
GB1,0.5934065934065934,1.8302282165027275,[37 38 39 40 41 20 21 48 49 50],2,Empirical sites
GB1,0.434850863422292,1.5307700760400802,[37 38 39 40 41 20 21 48 49 50],3,Empirical sites
GB1,0.6844583987441131,2.3240011540300487,[37 38 39 40 41 20 21 48 49 50],4,Empirical sites
GB1,0.4317111459968603,1.7132705257844603,[37 38 39 40 41 20 21 48 49 50],5,Empirical sites
GB1,0.4835164835164835,1.764826608555197,[37 38 39 40 41 20 21 48 49 50],6,Empirical sites
GB1,0.4301412872841444,2.08197575632226,[37 38 39 40 41 20 21 48 49 50],7,Empirical sites
GB1,0.7409733124018838,2.426911948595439,[37 38 39 40 41 20 21 48 49 50],8,Empirical sites
GB1,0.3139717425431711,1.8741455537187737,[37 38 39 40 41 20 21 48 49 50],9,Empirical sites
GB1,0.4207221350078493,1.7447873443078832,[37 38 39 40 41 20 21 48 49 50],10,Empirical sites
GB1,0.4913657770800628,1.7702026496953818,[37 38 39 40 41 20 21 48 49 50],11,Empirical sites
GB1,0.5510204081632653,2.035640728015413,[37 38 39 40 41 20 21 48 49 50],12,Empirical sites
GB1,0.315541601255887,1.6090524844996656,[37 38 39 40 41 20 21 48 49 50],13,Empirical sites
GB1,0.3202511773940345,1.8817080019669756,[37 38 39 40 41 20 21 48 49 50],14,Empirical sites
GB1,0.29356357927786497,1.5171450337373005,[37 38 39 40 41 20 21 48 49 50],15,Empirical sites
GB1,0.5054945054945055,1.6301498556363134,[37 38 39 40 41 20 21 48 49 50],16,Empirical sites
GB1,0.31240188383045525,1.539629701378854,[37 38 39 40 41 20 21 48 49 50],17,Empirical sites
GB1,0.43956043956043955,2.3745265075902324,[37 38 39 40 41 20 21 48 49 50],18,Empirical sites
GB1,0.32339089481946626,1.5092119705723483,[ 2 18 14  7 54 43 18 33 36 22],0,Empirical sites
GB1,0.24646781789638933,1.8403223034356355,[ 2 18 14  7 54 43 18 33 36 22],1,Empirical sites
GB1,0.29513343799058084,1.3877982847587944,[ 2 18 14  7 54 43 18 33 36 22],2,Empirical sites
GB1,0.3704866562009419,2.319383684292184,[ 2 18 14  7 54 43 18 33 36 22],3,Empirical sites
GB1,0.3328100470957614,1.632641108680805,[ 2 18 14  7 54 43 18 33 36 22],4,Empirical sites
GB1,0.2857142857142857,1.2412277813888242,[ 2 18 14  7 54 43 18 33 36 22],5,Empirical sites
GB1,0.44427001569858715,1.9431186035275423,[ 2 18 14  7 54 43 18 33 36 22],6,Empirical sites
GB1,0.46938775510204084,1.972659625539616,[ 2 18 14  7 54 43 18 33 36 22],7,Empirical sites
GB1,0.23233908948194662,1.2060278408558298,[ 2 18 14  7 54 43 18 33 36 22],8,Empirical sites
GB1,0.35478806907378335,1.4823919109893433,[ 2 18 14  7 54 43 18 33 36 22],9,Empirical sites
